TIMESTAMP,ACTUAL_DELIVERY_MINUTES - ESTIMATED_DELIVERY_MINUTES,ITEM_COUNT,USER_LAT,USER_LONG,VENUE_LAT,VENUE_LONG,ESTIMATED_DELIVERY_MINUTES,ACTUAL_DELIVERY_MINUTES,CLOUD_COVERAGE,TEMPERATURE,WIND_SPEED,PRECIPITATION,CUACA,tanggal,Hari,Jam,distance,VANUE_lOCATION,USER_LOCATION,VANUE,USER
2020-08-01 09:06:00,1,1,60.159,24.913,60.163,24.929,25,26,0.0,17.8,3.29756,0.0,,1,5,9,0.9906839822022221,"60.163, 24.929","60.159, 24.913",VANUE 18,Customer 25
2020-08-01 09:08:00,-1,1,60.189,24.963,60.194,24.95,30,29,0.0,17.8,3.29756,0.0,,1,5,9,0.9085501485675822,"60.194, 24.95","60.189, 24.963",VANUE 19,Customer 26
2020-08-01 09:09:00,-2,4,60.183,24.919,60.173,24.923,34,32,0.0,17.8,3.29756,0.0,,1,5,9,1.1337359137149294,"60.173, 24.923","60.183, 24.919",VANUE 20,Customer 27
2020-08-01 09:09:00,10,1,60.171,24.955,60.185,24.953,23,33,0.0,17.8,3.29756,0.0,,1,5,9,1.5606526144155999,"60.185, 24.953","60.171, 24.955",VANUE 21,Customer 28
2020-08-01 09:11:00,-4,1,60.165,24.928,60.168,24.938,28,24,0.0,17.8,3.29756,0.0,,1,5,9,0.6459722708521635,"60.168, 24.938","60.165, 24.928",VANUE 8,Customer 29
2020-08-01 09:14:00,-1,1,60.183,24.962,60.195,24.951,28,27,0.0,17.8,3.29756,0.0,,1,5,9,1.4663613348169902,"60.195, 24.951","60.183, 24.962",VANUE 22,Customer 30
2020-08-01 09:15:00,9,1,60.185,24.916,60.171,24.919,30,39,0.0,17.8,3.29756,0.0,,1,5,9,1.565543337682303,"60.171, 24.919","60.185, 24.916",VANUE 23,Customer 31
2020-08-01 09:17:00,0,1,60.184,24.954,60.187,24.977,32,32,0.0,17.8,3.29756,0.0,,1,5,9,1.3145928409938958,"60.187, 24.977","60.184, 24.954",VANUE 24,Customer 32
2020-08-01 09:19:00,2,1,60.176,24.923,60.168,24.938,28,30,0.0,17.8,3.29756,0.0,,1,5,9,1.2163833852612767,"60.168, 24.938","60.176, 24.923",VANUE 8,Customer 33
2020-08-01 09:21:00,10,5,60.168,24.964,60.168,24.976,32,42,0.0,17.8,3.29756,0.0,,1,5,9,0.6637783829832784,"60.168, 24.976","60.168, 24.964",VANUE 25,Customer 34
2020-08-01 09:22:00,-1,1,60.16,24.951,60.163,24.945,24,23,0.0,17.8,3.29756,0.0,,1,5,9,0.47060899515991667,"60.163, 24.945","60.16, 24.951",VANUE 26,Customer 35
2020-08-01 09:26:00,-1,1,60.155,24.915,60.167,24.938,37,36,0.0,17.8,3.29756,0.0,,1,5,9,1.8438411004384545,"60.167, 24.938","60.155, 24.915",VANUE 27,Customer 36
2020-08-01 09:28:00,-16,1,60.187,24.955,60.198,24.93,38,22,0.0,17.8,3.29756,0.0,,1,5,9,1.8454171184416495,"60.198, 24.93","60.187, 24.955",VANUE 28,Customer 37
2020-08-01 09:34:00,-15,1,60.185,24.912,60.169,24.93,37,22,0.0,17.8,3.29756,0.0,,1,5,9,2.0386452834479494,"60.169, 24.93","60.185, 24.912",VANUE 29,Customer 38
2020-08-01 09:35:00,14,3,60.197,24.966,60.185,24.961,30,44,0.0,17.8,3.29756,0.0,,1,5,9,1.3626617969396884,"60.185, 24.961","60.197, 24.966",VANUE 30,Customer 39
2020-08-01 09:37:00,-8,1,60.17,24.927,60.17,24.945,37,29,0.0,17.8,3.29756,0.0,,1,5,9,0.9956069644019913,"60.17, 24.945","60.17, 24.927",VANUE 31,Customer 40
2020-08-01 09:41:00,-5,2,60.187,24.968,60.169,24.935,47,42,0.0,17.8,3.29756,0.0,,1,5,9,2.7085160637252104,"60.169, 24.935","60.187, 24.968",VANUE 32,Customer 41
2020-08-01 09:50:00,9,3,60.179,24.954,60.18,24.95,26,35,0.0,17.8,3.29756,0.0,,1,5,9,0.24755967931856357,"60.18, 24.95","60.179, 24.954",VANUE 33,Customer 42
2020-08-01 09:59:00,-10,4,60.174,24.957,60.169,24.929,37,27,0.0,17.8,3.29756,0.0,,1,5,9,1.645426509975686,"60.169, 24.929","60.174, 24.957",VANUE 34,Customer 43
2020-08-01 10:01:00,-10,1,60.157,24.921,60.169,24.932,37,27,0.0,17.8,3.15193,0.0,,1,5,10,1.4665610838511705,"60.169, 24.932","60.157, 24.921",VANUE 35,Customer 44
2020-08-01 10:07:00,-7,1,60.162,24.935,60.168,24.935,29,22,0.0,17.8,3.15193,0.0,,1,5,10,0.667169559867028,"60.168, 24.935","60.162, 24.935",VANUE 36,Customer 45
2020-08-01 10:09:00,8,5,60.164,24.951,60.164,24.944,28,36,0.0,17.8,3.15193,0.0,,1,5,10,0.38725119551266346,"60.164, 24.944","60.164, 24.951",VANUE 37,Customer 46
2020-08-01 10:13:00,11,4,60.168,24.957,60.165,24.948,30,41,0.0,17.8,3.15193,0.0,,1,5,10,0.5992828335866626,"60.165, 24.948","60.168, 24.957",VANUE 38,Customer 47
2020-08-01 10:14:00,-6,1,60.161,24.939,60.163,24.942,24,18,0.0,17.8,3.15193,0.0,,1,5,10,0.2774975925864921,"60.163, 24.942","60.161, 24.939",VANUE 39,Customer 48
2020-08-01 10:17:00,-2,2,60.195,24.945,60.194,24.956,24,22,0.0,17.8,3.15193,0.0,,1,5,10,0.6180575325590709,"60.194, 24.956","60.195, 24.945",VANUE 14,Customer 49
2020-08-01 10:18:00,5,3,60.158,24.935,60.169,24.935,34,39,0.0,17.8,3.15193,0.0,,1,5,10,1.2231441930897873,"60.169, 24.935","60.158, 24.935",VANUE 32,Customer 50
2020-08-01 10:21:00,-6,1,60.167,24.949,60.169,24.941,28,22,0.0,17.8,3.15193,0.0,,1,5,10,0.49525775436843306,"60.169, 24.941","60.167, 24.949",VANUE 40,Customer 51
2020-08-01 10:24:00,-3,4,60.175,24.928,60.166,24.929,30,27,0.0,17.8,3.15193,0.0,,1,5,10,1.002281655663063,"60.166, 24.929","60.175, 24.928",VANUE 41,Customer 52
2020-08-01 10:25:00,13,4,60.187,24.915,60.192,24.952,40,53,0.0,17.8,3.15193,0.0,,1,5,10,2.1195289919018765,"60.192, 24.952","60.187, 24.915",VANUE 42,Customer 53
2020-08-01 10:28:00,-7,5,60.181,24.917,60.167,24.932,55,48,0.0,17.8,3.15193,0.0,,1,5,10,1.7639710480374735,"60.167, 24.932","60.181, 24.917",VANUE 43,Customer 54
2020-08-01 10:28:00,14,1,60.188,24.921,60.169,24.933,30,44,0.0,17.8,3.15193,0.0,,1,5,10,2.2144608030109616,"60.169, 24.933","60.188, 24.921",VANUE 17,Customer 55
2020-08-01 10:31:00,-8,1,60.173,24.924,60.169,24.929,25,17,0.0,17.8,3.15193,0.0,,1,5,10,0.5237445721125709,"60.169, 24.929","60.173, 24.924",VANUE 34,Customer 56
2020-08-01 10:33:00,16,1,60.16,24.945,60.169,24.945,28,44,0.0,17.8,3.15193,0.0,,1,5,10,1.0007543398012493,"60.169, 24.945","60.16, 24.945",VANUE 44,Customer 57
2020-08-01 10:36:00,-2,6,60.198,24.951,60.187,24.962,32,30,0.0,17.8,3.15193,0.0,,1,5,10,1.3659273614093188,"60.187, 24.962","60.198, 24.951",VANUE 45,Customer 58
2020-08-01 10:38:00,-1,5,60.194,24.943,60.178,24.949,28,27,0.0,17.8,3.15193,0.0,,1,5,10,1.8097772123640985,"60.178, 24.949","60.194, 24.943",VANUE 5,Customer 59
2020-08-01 10:39:00,11,1,60.188,24.945,60.198,24.93,34,45,0.0,17.8,3.15193,0.0,,1,5,10,1.387019820390629,"60.198, 24.93","60.188, 24.945",VANUE 28,Customer 60
2020-08-01 10:40:00,-10,1,60.161,24.938,60.168,24.93,25,15,0.0,17.8,3.15193,0.0,,1,5,10,0.8953859445103753,"60.168, 24.93","60.161, 24.938",VANUE 10,Customer 61
2020-08-01 10:42:00,18,6,60.162,24.944,60.169,24.927,28,46,0.0,17.8,3.15193,0.0,,1,5,10,1.2207575711340277,"60.169, 24.927","60.162, 24.944",VANUE 46,Customer 62
2020-08-01 10:47:00,-19,1,60.157,24.93,60.169,24.929,35,16,0.0,17.8,3.15193,0.0,,1,5,10,1.3354855117032678,"60.169, 24.929","60.157, 24.93",VANUE 34,Customer 63
2020-08-01 10:48:00,-11,2,60.195,24.976,60.185,24.979,31,20,0.0,17.8,3.15193,0.0,,1,5,10,1.1242472637495882,"60.185, 24.979","60.195, 24.976",VANUE 47,Customer 64
2020-08-01 10:50:00,-5,3,60.157,24.946,60.168,24.939,31,26,0.0,17.8,3.15193,0.0,,1,5,10,1.282988266353336,"60.168, 24.939","60.157, 24.946",VANUE 13,Customer 65
2020-08-01 10:55:00,-6,5,60.164,24.93,60.162,24.936,36,30,0.0,17.8,3.15193,0.0,,1,5,10,0.399551259788294,"60.162, 24.936","60.164, 24.93",VANUE 48,Customer 66
